CUI_ID,DrugBankID,DrugName
C0877880,DB00078,ibritumomab tiuxetan
C0057144,DB00080,daptomycin
C0879399,DB00081,tositumomab
C2348807,DB00081,tositumomab
C0913469,DB00082,pegvisomant
C0006050,DB00083,botulinum toxin type a
C0770343,DB00085,pancrelipase
C0038418,DB00086,streptokinase
C0383429,DB00087,alemtuzumab
C0017768,DB00088,alglucerase
C0102139,DB00088,alglucerase
C0529572,DB00089,capromab pendetide
C1302054,DB00090,laronidase
C0010592,DB00091,cyclosporine
C0010594,DB00091,cyclosporine
C0962603,DB00092,alefacept
C1314412,DB00092,alefacept
C0015777,DB00093,felypressin
C0524639,DB00094,urofollitropin
C1174995,DB00095,efalizumab
C0937609,DB00097,choriogonadotropin alfa
C0359156,DB00098,antithymocyte immunoglobulin (rabbit)
C0210630,DB00099,filgrastim
C1332793,DB00099,filgrastim
C2826076,DB00100,coagulation factor ix (recombinant)
C0379135,DB00102,becaplermin
C0751995,DB00102,becaplermin
C1137427,DB00103,agalsidase beta
C0028833,DB00104,octreotide
C0021735,DB00105,"interferon alfa-2b, recombinant"
C0965390,DB00106,abarelix
C0030095,DB00107,oxytocin
C0523809,DB00107,oxytocin
C1418208,DB00107,oxytocin
C1704206,DB00107,oxytocin
C4082165,DB00107,oxytocin
C1172734,DB00108,natalizumab
C0537439,DB00109,enfuvirtide
C0672596,DB00110,palivizumab
C0663182,DB00111,daclizumab
C0796392,DB00112,bevacizumab
C0758542,DB00113,technetium tc-99m arcitumomab
C0034266,DB00114,pyridoxal phosphate
C0202251,DB00114,pyridoxal phosphate
C0042845,DB00115,cyanocobalamin
C3714801,DB00115,cyanocobalamin
C0048898,DB00116,tetrahydrofolic acid
C0019602,DB00117,histidine
C0523697,DB00117,histidine
C0036002,DB00118,ademetionine
C0072802,DB00119,pyruvic acid
C0031453,DB00120,l-phenylalanine
C0005575,DB00121,biotin
C2700256,DB00121,biotin
C0008405,DB00122,choline
C0024337,DB00123,l-lysine
C0003765,DB00125,l-arginine
C0003968,DB00126,vitamin c
C0201898,DB00126,vitamin c
C2349136,DB00126,vitamin c
C3714687,DB00126,vitamin c
C4522080,DB00126,vitamin c
C0037874,DB00127,spermine
C0004015,DB00128,l-aspartic acid
C0029277,DB00129,ornithine
C0523801,DB00129,ornithine
C0017797,DB00130,l-glutamine
C0001465,DB00131,adenosine monophosphate
C0051405,DB00132,alpha-linolenic acid
C0036720,DB00133,serine
C0523888,DB00133,serine
C0025646,DB00134,methionine
C0428210,DB00134,methionine
C0041485,DB00135,l-tyrosine
C0006674,DB00136,calcitriol
C2698951,DB00136,calcitriol
C3714610,DB00136,calcitriol
C0043328,DB00137,lutein
C0010682,DB00138,cystine
C0546634,DB00138,cystine
C0075429,DB00139,succinic acid
C0035527,DB00140,riboflavin
C0373720,DB00140,riboflavin
C3714502,DB00140,riboflavin
C0001056,DB00141,n-acetylglucosamine
C0061472,DB00142,glutamic acid
C0523665,DB00142,glutamic acid
C0017817,DB00143,glutathione
C0031623,DB00144,phosphatidyl serine
C0301704,DB00144,phosphatidyl serine
C0017890,DB00145,glycine
C0522461,DB00145,glycine
C0523677,DB00145,glycine
C3797882,DB00145,glycine
C0006657,DB00146,calcidiol
C0034263,DB00147,pyridoxal
C0010286,DB00148,creatine
C0023401,DB00149,l-leucine
C0041249,DB00150,l-tryptophan
C0010654,DB00151,l-cysteine
C0039840,DB00152,thiamine
C0373727,DB00152,thiamine
C3714802,DB00152,thiamine
C0014695,DB00153,ergocalciferol
C2700257,DB00153,ergocalciferol
C3714696,DB00153,ergocalciferol
C0000658,DB00154,dihomo-gamma-linolenic acid
C0008864,DB00155,l-citrulline
C0040005,DB00156,l-threonine
C0027289,DB00157,nadh
C0016410,DB00158,folic acid
C0523631,DB00158,folic acid
C0000545,DB00159,icosapent
C3715178,DB00159,icosapent
C0001898,DB00160,l-alanine
C0042285,DB00161,l-valine
C0042839,DB00162,vitamin a
C0087161,DB00162,vitamin a
C0373745,DB00162,vitamin a
C2825076,DB00162,vitamin a
C3714656,DB00162,vitamin a
C0042874,DB00163,vitamin e
C1142098,DB00163,vitamin e
C3714803,DB00163,vitamin e
C0034272,DB00165,pyridoxine
C0202251,DB00165,pyridoxine
C3714638,DB00165,pyridoxine
C0023791,DB00166,lipoic acid
C0022192,DB00167,l-isoleucine
C0003999,DB00168,aspartame
C0008318,DB00169,cholecalciferol
C0523979,DB00169,cholecalciferol
C0025270,DB00170,menadione
C0001480,DB00171,atp
C0004482,DB00171,atp
C0175306,DB00171,atp
C1705556,DB00171,atp
C2744579,DB00171,atp
C0033382,DB00172,l-proline
C0001407,DB00173,adenine
C0003995,DB00174,l-asparagine
C0085542,DB00175,pravastatin
C0085228,DB00176,fluvoxamine
C0216784,DB00177,valsartan
C0072973,DB00178,ramipril
C0733397,DB00179,masoprocol
C0060501,DB00180,flunisolide
C0004609,DB00181,baclofen
C0002658,DB00182,amphetamine
C0002667,DB00182,amphetamine
C2698100,DB00182,amphetamine
C0030859,DB00183,pentagastrin
C0028040,DB00184,nicotine
C0202431,DB00184,nicotine
C0093437,DB00185,cevimeline
C0024002,DB00186,lorazepam
C0524170,DB00186,lorazepam
C0116569,DB00187,esmolol
C1176309,DB00188,bortezomib
C0014987,DB00189,ethchlorvynol
C0202378,DB00189,ethchlorvynol
C0006982,DB00190,carbidopa
C0031447,DB00191,phentermine
C0063455,DB00192,indecainide
C0040610,DB00193,tramadol
C0042646,DB00194,vidarabine
C0005320,DB00195,betaxolol
C0016277,DB00196,fluconazole
C0812735,DB00196,fluconazole
C0245514,DB00197,troglitazone
C0874161,DB00198,oseltamivir
C0014806,DB00199,erythromycin
C0020316,DB00200,hydroxocobalamin
C0006644,DB00201,caffeine
C0202348,DB00201,caffeine
C0038627,DB00202,succinylcholine
C0529793,DB00203,sildenafil
C0114771,DB00204,dofetilide
C0034283,DB00205,pyrimethamine
C0035179,DB00206,reserpine
C0052796,DB00207,azithromycin
C0812732,DB00207,azithromycin
C0040207,DB00208,ticlopidine
C0772089,DB00209,trospium
C0165631,DB00210,adapalene
C0026078,DB00211,midodrine
C0209499,DB00212,remikiren
C0081876,DB00213,pantoprazole
C0076840,DB00214,torasemide
C0008845,DB00215,citalopram
C0759933,DB00216,eletriptan
C0005324,DB00217,bethanidine
C0536495,DB00218,moxifloxacin
C0030082,DB00219,oxyphenonium
C0525005,DB00220,nelfinavir
C0022176,DB00221,isoetarine
C0061323,DB00222,glimepiride
C0304612,DB00223,diflorasone
C0376637,DB00224,indinavir
C0082646,DB00225,gadodiamide
C0061938,DB00226,guanadrel
C0024027,DB00227,lovastatin
C0014277,DB00228,enflurane
C0007556,DB00229,cefotiam
C0657912,DB00230,pregabalin
C0039468,DB00231,temazepam
C1266744,DB00231,temazepam
C0025696,DB00232,methyclothiazide
C0030125,DB00233,aminosalicylic acid
C0168388,DB00234,reboxetine
C0128513,DB00235,milrinone
C0031965,DB00236,pipobroman
C0006464,DB00237,butabarbital
C0132326,DB00238,nevirapine
C0069765,DB00239,oxiconazole
C0360534,DB00240,alclometasone
C0054234,DB00241,butalbital
C0092801,DB00242,cladribine
C0073633,DB00243,ranolazine
C0127615,DB00244,mesalazine
C0005098,DB00245,benzatropine
C0380393,DB00246,ziprasidone
C0025842,DB00247,methysergide
C0107994,DB00248,cabergoline
C0020811,DB00249,idoxuridine
C0010980,DB00250,dapsone
C0076115,DB00251,terconazole
C0031507,DB00252,phenytoin
C0065865,DB00253,medrysone
C0013090,DB00254,doxycycline
C0012203,DB00255,diethylstilbestrol
C0024200,DB00256,lymecycline
C0009074,DB00257,clotrimazole
C0717537,DB00258,calcium acetate
C0038702,DB00259,sulfanilamide
C1161332,DB00259,sulfanilamide
C0010590,DB00260,cycloserine
C0051809,DB00261,anagrelide
C0007257,DB00262,carmustine
C0038745,DB00263,sulfisoxazole
C0025859,DB00264,metoprolol
C0056519,DB00265,crotamiton
C0005640,DB00266,dicoumarol
C0007549,DB00267,cefmenoxime
C0244821,DB00268,ropinirole
C0008275,DB00269,chlorotrianisene
C0071304,DB00270,isradipine
C0012004,DB00271,diatrizoate
C0005321,DB00272,betazole
C0076829,DB00273,topiramate
C0007550,DB00274,cefmetazole
C1098320,DB00275,olmesartan
C0002699,DB00276,amsacrine
C0039771,DB00277,theophylline
C0039773,DB00277,theophylline
C0048470,DB00278,argatroban
C0041014,DB00279,liothyronine
C0012702,DB00280,disopyramide
C0023660,DB00281,lidocaine
C0043603,DB00282,pamidronate
C0008929,DB00283,clemastine
C0050393,DB00284,acarbose
C0078569,DB00285,venlafaxine
C0014938,DB00286,conjugated estrogens
C0937916,DB00287,travoprost
C0051556,DB00288,amcinonide
C0076823,DB00289,atomoxetine
C0005740,DB00290,bleomycin
C0008163,DB00291,chlorambucil
C0015131,DB00292,etomidate
C0677667,DB00293,raltitrexed
C0047683,DB00294,etonogestrel
C0026549,DB00295,morphine
C2698261,DB00295,morphine
C0073571,DB00296,ropivacaine
C0006400,DB00297,bupivacaine
C0057143,DB00298,dapiprazole
C0164815,DB00299,penciclovir
C0963398,DB00300,tenofovir disoproxil
C0016267,DB00301,flucloxacillin
C0040613,DB00302,tranexamic acid
C1120106,DB00303,ertapenem
C0057558,DB00304,desogestrel
C0002475,DB00305,mitomycin
C0026254,DB00305,mitomycin
C0301407,DB00306,talbutal
C0765273,DB00307,bexarotene
C0082966,DB00308,ibutilide
C0042682,DB00309,vindesine
C0008294,DB00310,chlorthalidone
C0015052,DB00311,ethoxzolamide
C0030883,DB00312,pentobarbital
C0042291,DB00313,valproic acid
C0262964,DB00314,capreomycin
C0528166,DB00315,zolmitriptan
C0000970,DB00316,acetaminophen
C0373527,DB00316,acetaminophen
C2917659,DB00316,acetaminophen
C1122962,DB00317,gefitinib
C0009214,DB00318,codeine
C0524087,DB00318,codeine
C0031955,DB00319,piperacillin
C0012291,DB00320,dihydroergotamine
C0002600,DB00321,amitriptyline
C0202316,DB00321,amitriptyline
C0016343,DB00322,floxuridine
C0246330,DB00323,tolcapone
C0016351,DB00324,fluorometholone
C0028193,DB00325,nitroprusside
C0108111,DB00326,calcium gluceptate
C0012306,DB00327,hydromorphone
C0524151,DB00327,hydromorphone
C0021246,DB00328,indomethacin
C0014964,DB00330,ethambutol
C0025598,DB00331,metformin
C0027235,DB00332,ipratropium
C0025605,DB00333,methadone
C0202418,DB00333,methadone
C0171023,DB00334,olanzapine
C0004147,DB00335,atenolol
C0028157,DB00336,nitrofural
C1099414,DB00337,pimecrolimus
C0028978,DB00338,omeprazole
C0034239,DB00339,pyrazinamide
C0066139,DB00340,metixene
C0055147,DB00341,cetirizine
C0085173,DB00342,terfenadine
C0012373,DB00343,diltiazem
C0033743,DB00344,protriptyline
C0030123,DB00345,aminohippuric acid
C0051150,DB00346,alfuzosin
C0041038,DB00347,trimethadione
C0173083,DB00348,nitisinone
C0055891,DB00349,clobazam
C0026196,DB00350,minoxidil
C0065879,DB00351,megestrol acetate
C0039902,DB00352,tioguanine
C0025760,DB00353,methylergometrine
C0164386,DB00354,buclizine
C0004521,DB00355,aztreonam
C0008296,DB00356,chlorzoxazone
C0002555,DB00357,aminoglutethimide
C0025153,DB00358,mefloquine
C0038675,DB00359,sulfadiazine
C0048897,DB00360,sapropterin
C0078257,DB00361,vinorelbine
C1142738,DB00362,anidulafungin
C0009079,DB00363,clozapine
C0038633,DB00364,sucralfate
C0287721,DB00365,grepafloxacin
C0013092,DB00366,doxylamine
C0023566,DB00367,levonorgestrel
C0028351,DB00368,norepinephrine
C0202145,DB00368,norepinephrine
C3887648,DB00368,norepinephrine
C0286079,DB00369,cidofovir
C0049506,DB00370,mirtazapine
C0025386,DB00371,meprobamate
C0202411,DB00371,meprobamate
C0039865,DB00372,thiethylperazine
C0040233,DB00373,timolol
C1145760,DB00374,treprostinil
C0009279,DB00375,colestipol
C0041009,DB00376,trihexyphenidyl
C0220578,DB00377,palonosetron
C0013340,DB00378,dydrogesterone
C0025887,DB00379,mexiletine
C0086444,DB00380,dexrazoxane
C0051696,DB00381,amlodipine
C0039245,DB00382,tacrine
C0069833,DB00383,oxyphencyclimine
C0040869,DB00384,triamterene
C0068314,DB00385,valrubicin
C0033254,DB00387,procyclidine
C0031469,DB00388,phenylephrine
C0006983,DB00389,carbimazole
C0012265,DB00390,digoxin
C0337449,DB00390,digoxin
C0038803,DB00391,sulpiride
C0015042,DB00392,ethopropazine
C0028094,DB00393,nimodipine
C0004906,DB00394,beclomethasone dipropionate
C0007248,DB00395,carisoprodol
C0033308,DB00396,progesterone
C0373705,DB00396,progesterone
C2757070,DB00396,progesterone
C0031495,DB00397,phenylpropanolamine
C1516119,DB00398,sorafenib
C0257685,DB00399,zoledronic acid
C0018242,DB00400,griseofulvin
C0028116,DB00401,nisoldipine
C1436328,DB00402,eszopiclone
C0006639,DB00403,ceruletide
C0002333,DB00404,alprazolam
C0524002,DB00404,alprazolam
C0057605,DB00405,dexbrompheniramine
C0017440,DB00406,gentian violet
C0297269,DB00407,ardeparin
C0024056,DB00408,loxapine
C0073047,DB00409,remoxipride
C0085259,DB00410,mupirocin
C0006945,DB00411,carbachol
C0289313,DB00412,rosiglitazone
C0074710,DB00413,pramipexole
C0000992,DB00414,acetohexamide
C0002680,DB00415,ampicillin
C0700566,DB00416,metocurine iodide
C0030840,DB00417,phenoxymethylpenicillin
C0036516,DB00418,secobarbital
C1321596,DB00419,miglustat
C0033399,DB00420,promazine
C0037982,DB00421,spironolactone
C0025810,DB00422,methylphenidate
C0025659,DB00423,methocarbamol
C0596004,DB00424,hyoscyamine
C0078839,DB00425,zolpidem
C0209227,DB00426,famciclovir
C0041098,DB00427,triprolidine
C0038432,DB00428,streptozocin
C0054721,DB00429,carboprost tromethamine
C0055010,DB00430,cefpiramide
C0005038,DB00431,lindane
C0040987,DB00432,trifluridine
C0033229,DB00433,prochlorperazine
C0010620,DB00434,cyproheptadine
C0028128,DB00435,nitric oxide
C3810607,DB00435,nitric oxide
C0004975,DB00436,bendroflumethiazide
C0002144,DB00437,allopurinol
C0007559,DB00438,ceftazidime
C0528023,DB00439,cerivastatin
C0041041,DB00440,trimethoprim
C0045093,DB00441,gemcitabine
C0971023,DB00442,entecavir
C0005308,DB00443,betamethasone
C0039512,DB00444,teniposide
C0014582,DB00445,epirubicin
C0008168,DB00446,chloramphenicol
C3714612,DB00446,chloramphenicol
C0065295,DB00447,loracarbef
C0050940,DB00448,lansoprazole
C0058415,DB00449,dipivefrin
C0013136,DB00450,droperidol
C0040165,DB00451,levothyroxine
C1881373,DB00451,levothyroxine
C0016673,DB00452,framycetin
C0055923,DB00453,clomocycline
C0025376,DB00454,pethidine
C0065180,DB00455,loratadine
C0007735,DB00456,cefalotin
C0032912,DB00457,prazosin
C0020934,DB00458,imipramine
C0020935,DB00458,imipramine
C0050559,DB00459,acitretin
C0387288,DB00460,verteporfin
C0068334,DB00461,nabumetone
C0141756,DB00462,methylscopolamine bromide
C0025629,DB00463,metharbital
C0037556,DB00464,sodium tetradecyl sulfate
C0073631,DB00465,ketorolac
C0031890,DB00466,picrotoxin
C0014310,DB00467,enoxacin
C0034417,DB00468,quinine
C1015216,DB00468,quinine
C1652815,DB00468,quinine
C0076096,DB00469,tenoxicam
C0039663,DB00470,dronabinol
C0298130,DB00471,montelukast
C0016365,DB00472,fluoxetine
C0062686,DB00473,hexylcaine
C0025668,DB00474,methohexital
C0008188,DB00475,chlordiazepoxide
C0202356,DB00475,chlordiazepoxide
C0245561,DB00476,duloxetine
C0008286,DB00477,chlorpromazine
C0035629,DB00478,rimantadine
C0002499,DB00479,amikacin
C1144149,DB00480,lenalidomide
C0244404,DB00481,raloxifene
C0538927,DB00482,celecoxib
C0016972,DB00483,gallamine triethiodide
C0525227,DB00484,brimonidine
C0012093,DB00485,dicloxacillin
C0068333,DB00486,nabilone
C0030771,DB00487,pefloxacin
C0019453,DB00488,altretamine
C0037707,DB00489,sotalol
C0006462,DB00490,buspirone
C0066535,DB00491,miglitol
C0118168,DB00492,fosinopril
C0007554,DB00493,cefotaxime
C0165921,DB00494,entacapone
C0043474,DB00495,zidovudine
C0919075,DB00495,zidovudine
C0529351,DB00496,darifenacin
C0030049,DB00497,oxycodone
C0524222,DB00497,oxycodone
C0031406,DB00498,phenindione
C0016384,DB00499,flutamide
C0040377,DB00500,tolmetin
C0008783,DB00501,cimetidine
C0018546,DB00502,haloperidol
C0919241,DB00502,haloperidol
C0292818,DB00503,ritonavir
C0023554,DB00504,levallorphan
C0077081,DB00505,tridihexethyl
C0068788,DB00507,nitazoxanide
C0040989,DB00508,triflupromazine
C0011824,DB00509,dextrothyroxine
C0520442,DB00511,acetyldigitoxin
C0042313,DB00512,vancomycin
C0000608,DB00513,aminocaproic acid
C0002546,DB00513,aminocaproic acid
C0011816,DB00514,dextromethorphan
C0008838,DB00515,cisplatin
C0525133,DB00516,bentoquatam
C0051923,DB00517,anisotropine methylbromide
C0001911,DB00518,albendazole
C0076891,DB00519,trandolapril
C0537894,DB00520,caspofungin
C0007299,DB00521,carteolol
C0053122,DB00522,bentiromide
C0281666,DB00523,alitretinoin
C0025854,DB00524,metolazone
C0040379,DB00525,tolnaftate
C0069717,DB00526,oxaliplatin
C1314429,DB00526,oxaliplatin
C0012050,DB00527,cinchocaine
C0526399,DB00528,lercanidipine
C0070895,DB00529,foscarnet
C1135135,DB00530,erlotinib
C0010583,DB00531,cyclophosphamide
C0025381,DB00532,mephenytoin
C0762662,DB00533,rofecoxib
C0008217,DB00534,chlormerodrin
C0060405,DB00535,cefdinir
C0018320,DB00536,guanidine
C0120446,DB00536,guanidine
C0008809,DB00537,ciprofloxacin
C0754820,DB00538,gadoversetamide
C0076836,DB00539,toremifene
C0028420,DB00540,nortriptyline
C0373487,DB00540,nortriptyline
C0042679,DB00541,vincristine
C0053091,DB00542,benazepril
C0002644,DB00543,amoxapine
C0016360,DB00544,fluorouracil
C0034261,DB00545,pyridostigmine
C0050844,DB00546,adinazolam
C0011707,DB00547,desoximetasone
C0052761,DB00548,azelaic acid
C0378466,DB00549,zafirlukast
C0033511,DB00550,propylthiouracil
C0050451,DB00551,acetohydroxamic acid
C0030896,DB00552,pentostatin
C0025684,DB00553,methoxsalen
C0031990,DB00554,piroxicam
C0064636,DB00555,lamotrigine
C0524166,DB00555,lamotrigine
C0937858,DB00556,perflutren
C0020404,DB00557,hydroxyzine
C0216660,DB00558,zanamivir
C0252643,DB00559,bosentan
C1260298,DB00560,tigecycline
C0013084,DB00561,doxapram
C0053245,DB00562,benzthiazide
C0025677,DB00563,methotrexate
C0006949,DB00564,carbamazepine
C1096766,DB00565,cisatracurium
C0012384,DB00566,succimer
C0007716,DB00567,cephalexin
C0008803,DB00568,cinnarizine
C1098510,DB00569,fondaparinux
C0042670,DB00570,vinblastine
C0033497,DB00571,propranolol
C0004259,DB00572,atropine
C1161352,DB00572,atropine
C0015837,DB00573,fenoprofen
C0015827,DB00574,fenfluramine
C0009014,DB00575,clonidine
C0038687,DB00576,sulfamethizole
C0249458,DB00577,valaciclovir
C0006976,DB00578,carbenicillin
C0024977,DB00579,mazindol
C0913246,DB00580,valdecoxib
C0022957,DB00581,lactulose
C0393080,DB00582,voriconazole
C0087163,DB00583,l-carnitine
C0014025,DB00584,enalapril
C0085154,DB00585,nizatidine
C0012091,DB00586,diclofenac
C0287390,DB00587,cinalukast
C0117996,DB00588,fluticasone propionate
C0023863,DB00589,lisuride
C0114873,DB00590,doxazosin
C0016298,DB00591,fluocinolone acetonide
C0031957,DB00592,piperazine
C0015043,DB00593,ethosuximide
C0002502,DB00594,amiloride
C0030092,DB00595,oxytetracycline
C0082787,DB00596,ulobetasol
C0060930,DB00597,gadoteridol
C0022860,DB00598,labetalol
C0039925,DB00599,thiopental
C0050962,DB00600,monobenzone
C0663241,DB00601,linezolid
C0022322,DB00602,ivermectin
C0065864,DB00603,medroxyprogesterone acetate
C3503747,DB00603,medroxyprogesterone acetate
C0072916,DB00604,cisapride
C0038792,DB00605,sulindac
C0056831,DB00606,cyclothiazide
C0027324,DB00607,nafcillin
C0008269,DB00608,chloroquine
C0015021,DB00609,ethionamide
C0025575,DB00610,metaraminol
C0006491,DB00611,butorphanol
C0053799,DB00612,bisoprolol
C0002641,DB00613,amodiaquine
C0016855,DB00614,furazolidone
C0140575,DB00615,rifabutin
C0077782,DB00616,candoxatril
C0070072,DB00617,paramethadione
C0011276,DB00618,demeclocycline
C0935989,DB00619,imatinib
C0040864,DB00620,triamcinolone
C0029995,DB00621,oxandrolone
C0028005,DB00622,nicardipine
C0016368,DB00623,fluphenazine
C0039601,DB00624,testosterone
C0202227,DB00624,testosterone
C0674428,DB00625,efavirenz
C0004599,DB00626,bacitracin
C0027996,DB00627,niacin
C1142562,DB00627,niacin
C0008174,DB00628,clorazepate
C0524083,DB00628,clorazepate
C0018312,DB00629,guanabenz
C0771311,DB00630,alendronic acid
C0092777,DB00631,clofarabine
C0075770,DB00632,docosanol
C0113293,DB00633,dexmedetomidine
C0038670,DB00634,sulfacetamide
C0032952,DB00635,prednisone
C0009002,DB00636,clofibrate
C0085170,DB00637,astemizole
C0021936,DB00638,inulin
C0523725,DB00638,inulin
C0054259,DB00639,butoconazole
C0001443,DB00640,adenosine
C0074554,DB00641,simvastatin
C0210657,DB00642,pemetrexed
C0025023,DB00643,mebendazole
C0023610,DB00644,gonadorelin
C3146229,DB00644,gonadorelin
C4520794,DB00644,gonadorelin
C0058831,DB00645,dyclonine
C0028741,DB00646,nystatin
C0033493,DB00647,dextropropoxyphene
C0026256,DB00648,mitotane
C0164662,DB00649,stavudine
C0023413,DB00650,leucovorin
C0013360,DB00651,dyphylline
C0030873,DB00652,pentazocine
C0024480,DB00653,magnesium sulfate
C0090306,DB00654,latanoprost
C0014942,DB00655,estrone
C0236379,DB00655,estrone
C0040805,DB00656,trazodone
C0025029,DB00657,mecamylamine
C0718050,DB00658,sevelamer
C0284941,DB00659,acamprosate
C0163055,DB00660,metaxalone
C0042523,DB00661,verapamil
C0077163,DB00662,trimethobenzamide
C0016294,DB00663,flumethasone
C0038683,DB00664,sulfametopyrazine
C0068771,DB00665,nilutamide
C0064906,DB00666,nafarelin
C0014563,DB00668,epinephrine
C0201998,DB00668,epinephrine
C0075632,DB00669,sumatriptan
C0031978,DB00670,pirenzepine
C0060400,DB00671,cefixime
C0008287,DB00672,chlorpropamide
C1176306,DB00673,aprepitant
C0016967,DB00674,galantamine
C0039286,DB00675,tamoxifen
C0053289,DB00676,benzyl benzoate
C0022181,DB00677,isoflurophate
C0126174,DB00678,losartan
C0039943,DB00679,thioridazine
C0079856,DB00680,moricizine
C0002679,DB00681,amphotericin b
C0694951,DB00681,amphotericin b
C0043031,DB00682,warfarin
C0026056,DB00683,midazolam
C0524191,DB00683,midazolam
C0040341,DB00684,tobramycin
C0379881,DB00685,trovafloxacin
C0600296,DB00686,pentosan polysulfate
C0016280,DB00687,fludrocortisone
C0209368,DB00688,mycophenolate mofetil
C0007721,DB00689,cephaloglycin
C0016375,DB00690,flurazepam
C0202388,DB00690,flurazepam
C0066685,DB00691,moexipril
C0031448,DB00692,phentolamine
C0060520,DB00693,fluorescein
C0011015,DB00694,daunorubicin
C0016860,DB00695,furosemide
C0014710,DB00696,ergotamine
C0146011,DB00697,tizanidine
C0028156,DB00698,nitrofurantoin
C0028008,DB00699,nicergoline
C0961485,DB00700,eplerenone
C0754188,DB00701,amprenavir
C0538727,DB00702,icodextrin
C0025631,DB00703,methazolamide
C0027360,DB00704,naltrexone
C0288165,DB00705,delavirdine
C0257343,DB00706,tamsulosin
C1130428,DB00707,porfimer sodium
C0143993,DB00708,sufentanil
C0209738,DB00709,lamivudine
C0379199,DB00710,ibandronate
C0012191,DB00711,diethylcarbamazine
C0016377,DB00712,flurbiprofen
C0029983,DB00713,oxacillin
C0003596,DB00714,apomorphine
C0070122,DB00715,paroxetine
C0068483,DB00716,nedocromil
C0028356,DB00717,norethisterone
